# PokeAPI api-data revision 837b3642001d4853249114d2b5601d46e1004a45
"id","name","primary_type","secondary_type","gender_rate","capture_rate","stage","acquisition","evolutions"
"43","Oddish","Grass","Poison","4","255","Base","Wild","44:Level:21:None"
"44","Gloom","Grass","Poison","4","120","Middle","Wild","45:Item:0:LeafStone"
"45","Vileplume","Grass","Poison","4","45","Final","EvolutionOnly",""
"46","Paras","Bug","Grass","4","190","Base","Wild","47:Level:24:None"
"47","Parasect","Bug","Grass","4","75","Final","Wild",""
"48","Venonat","Bug","Poison","4","190","Base","Wild","49:Level:31:None"
"49","Venomoth","Bug","Poison","4","75","Final","Wild",""
"50","Diglett","Ground","None","4","255","Base","Wild","51:Level:26:None"
"51","Dugtrio","Ground","None","4","50","Final","Wild",""
"52","Meowth","Normal","None","4","255","Base","Wild","53:Level:28:None"
"53","Persian","Normal","None","4","90","Final","Wild",""
"54","Psyduck","Water","None","4","190","Base","Wild","55:Level:33:None"
"55","Golduck","Water","None","4","75","Final","Wild",""
"56","Mankey","Fighting","None","4","190","Base","Wild","57:Level:28:None"
"57","Primeape","Fighting","None","4","75","Final","Wild",""
"58","Growlithe","Fire","None","2","190","Base","Wild","59:Item:0:FireStone"
"59","Arcanine","Fire","None","2","75","Final","EvolutionOnly",""
"60","Poliwag","Water","None","4","255","Base","Wild","61:Level:25:None"
"61","Poliwhirl","Water","None","4","120","Middle","Wild","62:Item:0:WaterStone"
"62","Poliwrath","Water","Fighting","4","45","Final","EvolutionOnly",""
"63","Abra","Psychic","None","2","200","Base","Wild","64:Level:16:None"
"64","Kadabra","Psychic","None","2","100","Middle","Wild","65:Item:0:LinkCable"
"65","Alakazam","Psychic","None","2","50","Final","EvolutionOnly",""
"66","Machop","Fighting","None","2","180","Base","Wild","67:Level:28:None"
"67","Machoke","Fighting","None","2","90","Middle","Wild","68:Item:0:LinkCable"
"68","Machamp","Fighting","None","2","45","Final","EvolutionOnly",""
"69","Bellsprout","Grass","Poison","4","255","Base","Wild","70:Level:21:None"
"70","Weepinbell","Grass","Poison","4","120","Middle","Wild","71:Item:0:LeafStone"
"71","Victreebel","Grass","Poison","4","45","Final","EvolutionOnly",""
"72","Tentacool","Water","Poison","4","190","Base","Wild","73:Level:30:None"
"73","Tentacruel","Water","Poison","4","60","Final","Wild",""
"74","Geodude","Rock","Ground","4","255","Base","Wild","75:Level:25:None"
"75","Graveler","Rock","Ground","4","120","Middle","Wild","76:Item:0:LinkCable"
"76","Golem","Rock","Ground","4","45","Final","EvolutionOnly",""
"77","Ponyta","Fire","None","4","190","Base","Wild","78:Level:40:None"
"78","Rapidash","Fire","None","4","60","Final","Wild",""
"79","Slowpoke","Water","Psychic","4","190","Base","Wild","80:Level:37:None"
"80","Slowbro","Water","Psychic","4","75","Final","Wild",""
"81","Magnemite","Electric","Steel","255","190","Base","Wild","82:Level:30:None"
"82","Magneton","Electric","Steel","255","60","Final","Wild",""
"83","Farfetch’d","Normal","Flying","4","45","Base","Wild",""
"84","Doduo","Normal","Flying","4","190","Base","Wild","85:Level:31:None"
"85","Dodrio","Normal","Flying","4","45","Final","Wild",""
"86","Seel","Water","None","4","190","Base","Wild","87:Level:34:None"
"87","Dewgong","Water","Ice","4","75","Final","Wild",""
"88","Grimer","Poison","None","4","190","Base","Wild","89:Level:38:None"
"89","Muk","Poison","None","4","75","Final","Wild",""
"90","Shellder","Water","None","4","190","Base","Wild","91:Item:0:WaterStone"
"91","Cloyster","Water","Ice","4","60","Final","EvolutionOnly",""
"92","Gastly","Ghost","Poison","4","190","Base","Wild","93:Level:25:None"
"93","Haunter","Ghost","Poison","4","90","Middle","Wild","94:Item:0:LinkCable"
"94","Gengar","Ghost","Poison","4","45","Final","EvolutionOnly",""
"95","Onix","Rock","Ground","4","45","Base","Wild",""
"96","Drowzee","Psychic","None","4","190","Base","Wild","97:Level:26:None"
"97","Hypno","Psychic","None","4","75","Final","Wild",""
"98","Krabby","Water","None","4","225","Base","Wild","99:Level:28:None"
"99","Kingler","Water","None","4","60","Final","Wild",""
"100","Voltorb","Electric","None","255","190","Base","Wild","101:Level:30:None"
"101","Electrode","Electric","None","255","60","Final","Wild",""
"102","Exeggcute","Grass","Psychic","4","90","Base","Wild","103:Item:0:LeafStone"
"103","Exeggutor","Grass","Psychic","4","45","Final","EvolutionOnly",""
"104","Cubone","Ground","None","4","190","Base","Wild","105:Level:28:None"
"105","Marowak","Ground","None","4","75","Final","Wild",""
"106","Hitmonlee","Fighting","None","0","45","Base","Wild",""
"107","Hitmonchan","Fighting","None","0","45","Base","Wild",""
"108","Lickitung","Normal","None","4","45","Base","Wild",""
"109","Koffing","Poison","None","4","190","Base","Wild","110:Level:35:None"
"110","Weezing","Poison","None","4","60","Final","Wild",""
"111","Rhyhorn","Ground","Rock","4","120","Base","Wild","112:Level:42:None"
"112","Rhydon","Ground","Rock","4","60","Final","Wild",""
"113","Chansey","Normal","None","8","30","Base","Wild",""
"114","Tangela","Grass","None","4","45","Base","Wild",""
"115","Kangaskhan","Normal","None","8","45","Base","Wild",""
"116","Horsea","Water","None","4","225","Base","Wild","117:Level:32:None"
"117","Seadra","Water","None","4","75","Final","Wild",""
"118","Goldeen","Water","None","4","225","Base","Wild","119:Level:33:None"
"119","Seaking","Water","None","4","60","Final","Wild",""
"120","Staryu","Water","None","255","225","Base","Wild","121:Item:0:WaterStone"
"121","Starmie","Water","Psychic","255","60","Final","EvolutionOnly",""
"122","Mr. Mime","Psychic","Fairy","4","45","Base","Wild",""
"123","Scyther","Bug","Flying","4","45","Base","Wild",""
"124","Jynx","Ice","Psychic","8","45","Base","Wild",""
"125","Electabuzz","Electric","None","2","45","Base","Wild",""
"126","Magmar","Fire","None","2","45","Base","Wild",""
"127","Pinsir","Bug","None","4","45","Base","Wild",""
"128","Tauros","Normal","None","0","45","Base","Wild",""
"129","Magikarp","Water","None","4","255","Base","Wild","130:Level:20:None"
"130","Gyarados","Water","Flying","4","45","Final","Wild",""
"131","Lapras","Water","Ice","4","45","Base","Wild",""
"132","Ditto","Normal","None","255","35","Base","Wild",""
"133","Eevee","Normal","None","1","45","Base","Wild","134:Item:0:WaterStone;135:Item:0:ThunderStone;136:Item:0:FireStone"
"134","Vaporeon","Water","None","1","45","Final","EvolutionOnly",""
"135","Jolteon","Electric","None","1","45","Final","EvolutionOnly",""
"136","Flareon","Fire","None","1","45","Final","EvolutionOnly",""
"137","Porygon","Normal","None","255","45","Base","Wild",""
"138","Omanyte","Rock","Water","1","45","Base","Wild","139:Level:40:None"
"139","Omastar","Rock","Water","1","45","Final","Wild",""
"140","Kabuto","Rock","Water","1","45","Base","Wild","141:Level:40:None"
"141","Kabutops","Rock","Water","1","45","Final","Wild",""
"142","Aerodactyl","Rock","Flying","1","45","Base","Wild",""
"143","Snorlax","Normal","None","1","25","Base","Wild",""
"144","Articuno","Ice","Flying","255","3","Base","Legendary",""
"145","Zapdos","Electric","Flying","255","3","Base","Legendary",""
"146","Moltres","Fire","Flying","255","3","Base","Legendary",""
"147","Dratini","Dragon","None","4","45","Base","Wild","148:Level:30:None"
"148","Dragonair","Dragon","None","4","45","Middle","Wild","149:Level:55:None"
"149","Dragonite","Dragon","Flying","4","45","Final","Wild",""
"150","Mewtwo","Psychic","None","255","3","Base","Legendary",""
"151","Mew","Psychic","None","255","45","Base","Special",""
